timestamp,project,script,status,exit_code,accuracy,exec_time_s,energy_j,notes
2026-03-24T18:03:14+0100,Air-Quality-Health-Prediction,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,1.000000,30.055332422,3836.246478,requirements installed (relaxed pins)
2026-03-24T18:03:17+0100,Air-Quality-Health-Prediction,GENAIGREENML_assisted_chatgpt.py,OK,0,0.000000,3.018218994,444.145558,requirements installed (relaxed pins)
2026-03-24T18:03:19+0100,Air-Quality-Health-Prediction,GENAIGREENML_assisted_claude.py,OK,0,0.888889,2.267559528,341.973241,requirements installed (relaxed pins)
2026-03-24T18:03:22+0100,Air-Quality-Health-Prediction,GENAIGREENML_assisted_codex.py,OK,0,0.956522,2.217362642,330.601375,requirements installed (relaxed pins)
2026-03-24T18:03:23+0100,Air-Quality-Health-Prediction,GENAIGREENML_assisted_gemini.py,OK,0,0.942029,1.766665459,263.252862,requirements installed (relaxed pins)
2026-03-24T18:03:25+0100,Air-Quality-Health-Prediction,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.994657,1.616677284,244.526356,requirements installed (relaxed pins)
2026-03-24T18:03:26+0100,Air-Quality-Health-Prediction,GENAIGREENML_autonomous_claude.py,OK,0,,1.266179085,198.062380,requirements installed (relaxed pins)
2026-03-24T18:03:28+0100,Air-Quality-Health-Prediction,GENAIGREENML_autonomous_codex.py,OK,0,0.560613,1.516474485,228.551204,requirements installed (relaxed pins)
2026-03-24T18:03:29+0100,Air-Quality-Health-Prediction,GENAIGREENML_autonomous_gemini.py,OK,0,0.796992,1.466346025,233.525638,requirements installed (relaxed pins)
2026-03-24T18:03:48+0100,Algorithms_KnnClasifier,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.720000,9.576984406,1235.905182,requirements installed (relaxed pins)
2026-03-24T18:03:49+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_chatgpt.py,OK,0,0.750000,0.615584135,91.155020,requirements installed (relaxed pins)
2026-03-24T18:03:49+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_claude.py,OK,0,0.720000,0.615538120,91.653162,requirements installed (relaxed pins)
2026-03-24T18:03:50+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_codex.py,OK,0,72.000000,0.565145254,87.606050,requirements installed (relaxed pins)
2026-03-24T18:03:50+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_gemini.py,OK,0,0.720000,0.565377712,84.378042,requirements installed (relaxed pins)
2026-03-24T18:04:05+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.753731,14.734240055,1968.237540,requirements installed (relaxed pins)
2026-03-24T18:04:06+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_claude.py,OK,0,0.723881,1.366407156,210.592639,requirements installed (relaxed pins)
2026-03-24T18:04:08+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_codex.py,OK,0,0.723881,1.366379023,200.957661,requirements installed (relaxed pins)
2026-03-24T18:04:09+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_gemini.py,OK,0,0.746269,1.316400528,192.833083,requirements installed (relaxed pins)
2026-03-24T18:04:43+0100,animals-classification,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.961538,24.548393011,3169.753798,requirements installed (relaxed pins)
2026-03-24T18:04:45+0100,animals-classification,GENAIGREENML_assisted_chatgpt.py,OK,0,0.961538,1.517103195,224.904720,requirements installed (relaxed pins)
2026-03-24T18:04:46+0100,animals-classification,GENAIGREENML_assisted_claude.py,OK,0,0.961538,1.466687202,223.172322,requirements installed (relaxed pins)
2026-03-24T18:04:48+0100,animals-classification,GENAIGREENML_assisted_codex.py,OK,0,0.961538,1.566714764,251.975139,requirements installed (relaxed pins)
2026-03-24T18:04:49+0100,animals-classification,GENAIGREENML_assisted_gemini.py,OK,0,0.961538,1.316384792,188.471853,requirements installed (relaxed pins)
2026-03-24T18:04:51+0100,animals-classification,GENAIGREENML_autonomous_chatgpt.py,OK,0,1.000000,2.167724371,276.966856,requirements installed (relaxed pins)
2026-03-24T18:04:53+0100,animals-classification,GENAIGREENML_autonomous_codex.py,OK,0,1.000000,1.166219950,165.483800,requirements installed (relaxed pins)
2026-03-24T18:04:54+0100,animals-classification,GENAIGREENML_autonomous_gemini.py,OK,0,1.000000,1.115824461,160.608966,requirements installed (relaxed pins)
2026-03-24T18:05:32+0100,Annotated_Colab_Notebook,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.861803,30.206526995,3479.024313,requirements installed (relaxed pins)
2026-03-24T18:05:35+0100,Annotated_Colab_Notebook,GENAIGREENML_assisted_chatgpt.py,OK,0,0.861803,2.818396091,398.850064,requirements installed (relaxed pins)
2026-03-24T18:05:38+0100,Annotated_Colab_Notebook,GENAIGREENML_assisted_claude.py,OK,0,0.865352,2.768110037,384.432311,requirements installed (relaxed pins)
2026-03-24T18:05:45+0100,Annotated_Colab_Notebook,GENAIGREENML_assisted_codex.py,OK,0,0.861803,7.223819733,929.494932,requirements installed (relaxed pins)
2026-03-24T18:05:52+0100,Annotated_Colab_Notebook,GENAIGREENML_assisted_gemini.py,OK,0,0.861803,7.123331785,920.283479,requirements installed (relaxed pins)
2026-03-24T18:05:56+0100,Annotated_Colab_Notebook,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.852390,3.819549084,490.815885,requirements installed (relaxed pins)
2026-03-24T18:06:01+0100,Annotated_Colab_Notebook,GENAIGREENML_autonomous_codex.py,OK,0,0.747312,4.470288515,586.845185,requirements installed (relaxed pins)
2026-03-24T18:06:04+0100,Annotated_Colab_Notebook,GENAIGREENML_autonomous_gemini.py,OK,0,0.856997,3.319066286,492.776422,requirements installed (relaxed pins)
2026-03-24T18:06:41+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.903509,27.310734987,0.000000,requirements installed (relaxed pins) | RAPL counter wrap/reset suspected
2026-03-24T18:06:42+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_assisted_chatgpt.py,OK,0,0.903509,1.416434526,199.971596,requirements installed (relaxed pins)
2026-03-24T18:06:44+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_assisted_claude.py,OK,0,0.903509,1.316215754,189.206035,requirements installed (relaxed pins)
2026-03-24T18:06:45+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_assisted_codex.py,OK,0,0.903509,1.416509151,199.421957,requirements installed (relaxed pins)
2026-03-24T18:06:46+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_assisted_gemini.py,OK,0,0.903509,1.216180086,173.049120,requirements installed (relaxed pins)
2026-03-24T18:06:49+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.973684,2.467598438,330.083894,requirements installed (relaxed pins)
2026-03-24T18:06:50+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_autonomous_claude.py,OK,0,0.964912,1.216099501,176.678605,requirements installed (relaxed pins)
2026-03-24T18:06:51+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_autonomous_codex.py,OK,0,0.973684,1.166123390,166.742241,requirements installed (relaxed pins)
2026-03-24T18:06:52+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_autonomous_gemini.py,OK,0,0.973684,1.065937996,155.293557,requirements installed (relaxed pins)
2026-03-24T18:07:25+0100,breastcancer_classification,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,91.946309,24.496360064,2878.680213,requirements installed (relaxed pins)
2026-03-24T18:07:38+0100,breastcancer_classification,GENAIGREENML_assisted_chatgpt.py,OK,0,0.919463,12.379161835,1525.447704,requirements installed (relaxed pins)
2026-03-24T18:07:44+0100,breastcancer_classification,GENAIGREENML_assisted_claude.py,OK,0,0.919463,6.822577238,847.484967,requirements installed (relaxed pins)
2026-03-24T18:07:51+0100,breastcancer_classification,GENAIGREENML_assisted_codex.py,OK,0,0.920000,6.221811533,771.657194,requirements installed (relaxed pins)
2026-03-24T18:07:57+0100,breastcancer_classification,GENAIGREENML_assisted_gemini.py,OK,0,0.920000,6.872660398,852.185149,requirements installed (relaxed pins)
2026-03-24T18:08:15+0100,breastcancer_classification,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.928073,17.538848639,1950.712643,requirements installed (relaxed pins)
2026-03-24T18:08:16+0100,breastcancer_classification,GENAIGREENML_autonomous_codex.py,OK,0,0.967897,1.366242886,189.988916,requirements installed (relaxed pins)
2026-03-24T18:08:57+0100,cancer_prediction,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.982456,29.155491114,3212.642718,requirements installed (relaxed pins)
2026-03-24T18:08:59+0100,cancer_prediction,GENAIGREENML_assisted_chatgpt.py,OK,0,0.982456,1.516388655,211.264083,requirements installed (relaxed pins)
2026-03-24T18:09:00+0100,cancer_prediction,GENAIGREENML_assisted_claude.py,OK,0,0.982456,1.466445208,206.072012,requirements installed (relaxed pins)
2026-03-24T18:09:02+0100,cancer_prediction,GENAIGREENML_assisted_codex.py,OK,0,0.982456,1.566601753,216.812979,requirements installed (relaxed pins)
2026-03-24T18:09:03+0100,cancer_prediction,GENAIGREENML_assisted_gemini.py,OK,0,0.982456,1.366115570,191.937820,requirements installed (relaxed pins)
2026-03-24T18:09:05+0100,cancer_prediction,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.973684,2.117438078,270.029998,requirements installed (relaxed pins)
2026-03-24T18:09:07+0100,cancer_prediction,GENAIGREENML_autonomous_claude.py,OK,0,0.964912,1.366364241,189.067360,requirements installed (relaxed pins)
