timestamp,project,script,status,exit_code,accuracy,mem_delta_mb,exec_time_s,energy_j,notes
2026-02-13T12:59:20+0100,Algorithms_KnnClasifier,GENAIGREENML_original_telemetry_gemini.py,OK,0,0.720000,0.000,0.883556843,17.671,energy approx on macOS using 20.0W
2026-02-13T12:59:20+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_gemini.py,OK,0,0.370000,0.000,0.290660858,5.813,energy approx on macOS using 20.0W
2026-02-13T12:59:21+0100,Algorithms_KnnClasifier,GENAIGREENML_assisted_groq.py,OK,0,0.720000,0.000,0.288591862,5.772,energy approx on macOS using 20.0W
2026-02-13T12:59:23+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_gemini.py,OK,0,0.770000,0.000,2.022057056,40.441,energy approx on macOS using 20.0W
2026-02-13T12:59:24+0100,Algorithms_KnnClasifier,GENAIGREENML_autonomous_groq.py,OK,0,0.790000,0.000,1.152287006,23.046,energy approx on macOS using 20.0W
2026-02-13T12:59:27+0100,animals-classification,GENAIGREENML_original_telemetry_gemini.py,OK,0,0.961538,0.000,2.490552664,49.811,energy approx on macOS using 20.0W
2026-02-13T12:59:28+0100,animals-classification,GENAIGREENML_assisted_gemini.py,OK,0,0.961538,0.000,1.044310093,20.886,energy approx on macOS using 20.0W
2026-02-13T12:59:29+0100,animals-classification,GENAIGREENML_assisted_groq.py,OK,0,1.000000,0.000,0.999942780,19.999,energy approx on macOS using 20.0W
2026-02-13T12:59:30+0100,animals-classification,GENAIGREENML_autonomous_gemini.py,OK,0,1.000000,0.000,1.105603695,22.112,energy approx on macOS using 20.0W
2026-02-13T12:59:31+0100,animals-classification,GENAIGREENML_autonomous_groq.py,OK,0,1.000000,0.000,1.156975746,23.140,energy approx on macOS using 20.0W
2026-02-13T12:59:37+0100,Annotated_Colab_Notebook,GENAIGREENML_original_telemetry_gemini.py,OK,0,0.860916,0.000,5.483665943,109.673,energy approx on macOS using 20.0W
2026-02-13T12:59:39+0100,Annotated_Colab_Notebook,GENAIGREENML_assisted_gemini.py,OK,0,0.860916,0.000,1.853927135,37.079,energy approx on macOS using 20.0W
2026-02-13T12:59:41+0100,Annotated_Colab_Notebook,GENAIGREENML_assisted_groq.py,OK,0,0.856889,0.000,1.914779902,38.296,energy approx on macOS using 20.0W
2026-02-13T12:59:43+0100,Annotated_Colab_Notebook,GENAIGREENML_autonomous_gemini.py,OK,0,0.877674,0.000,2.084544182,41.691,energy approx on macOS using 20.0W
2026-02-13T12:59:44+0100,Annotated_Colab_Notebook,GENAIGREENML_autonomous_groq.py,OK,0,0.834232,0.000,1.758527994,35.171,energy approx on macOS using 20.0W
2026-02-13T12:59:47+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_original_telemetry_gemini.py,OK,0,0.903509,0.000,2.506170034,50.123,energy approx on macOS using 20.0W
2026-02-13T12:59:48+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_assisted_gemini.py,OK,0,0.903509,0.000,0.944118023,18.882,energy approx on macOS using 20.0W
2026-02-13T12:59:49+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_assisted_groq.py,OK,0,0.938596,0.000,1.107353210,22.147,energy approx on macOS using 20.0W
2026-02-13T12:59:50+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_autonomous_gemini.py,OK,0,0.973684,0.000,0.990419865,19.808,energy approx on macOS using 20.0W
2026-02-13T12:59:50+0100,BREAST-CANCER-PREDICTION-SYSTEM,GENAIGREENML_autonomous_groq.py,FAILED,1,,0.000,0.040297985,0.806,energy approx on macOS using 20.0W
2026-02-13T12:59:56+0100,BreastCancer_Classification,GENAIGREENML_original_telemetry_gemini.py,OK,0,0.919463,0.000,5.114863157,102.297,energy approx on macOS using 20.0W
2026-02-13T12:59:58+0100,BreastCancer_Classification,GENAIGREENML_assisted_gemini.py,OK,0,0.919463,0.000,2.612673044,52.253,energy approx on macOS using 20.0W
2026-02-13T13:00:03+0100,BreastCancer_Classification,GENAIGREENML_assisted_groq.py,OK,0,,0.000,4.566061020,91.321,energy approx on macOS using 20.0W
2026-02-13T13:00:05+0100,BreastCancer_Classification,GENAIGREENML_autonomous_gemini.py,OK,0,0.973684,0.000,2.256380081,45.128,energy approx on macOS using 20.0W
2026-02-13T13:00:06+0100,BreastCancer_Classification,GENAIGREENML_autonomous_groq.py,OK,0,0.980000,0.000,0.942308903,18.846,energy approx on macOS using 20.0W
2026-02-13T13:00:09+0100,cancer_prediction,GENAIGREENML_original_telemetry_gemini.py,OK,0,0.982456,0.000,2.690028906,53.801,energy approx on macOS using 20.0W
2026-02-13T13:00:10+0100,cancer_prediction,GENAIGREENML_assisted_gemini.py,OK,0,0.982456,0.000,0.879654169,17.593,energy approx on macOS using 20.0W
2026-02-13T13:00:11+0100,cancer_prediction,GENAIGREENML_assisted_groq.py,OK,0,0.982456,0.000,0.891000271,17.820,energy approx on macOS using 20.0W
2026-02-13T13:00:12+0100,cancer_prediction,GENAIGREENML_autonomous_gemini.py,OK,0,0.973684,0.000,0.887556076,17.751,energy approx on macOS using 20.0W
2026-02-13T13:00:13+0100,cancer_prediction,GENAIGREENML_autonomous_groq.py,FAILED,1,,0.000,0.944336891,18.887,energy approx on macOS using 20.0W
2026-02-13T13:00:16+0100,cars-classification,GENAIGREENML_original_telemetry_gemini.py,OK,0,0.703125,0.000,2.609498739,52.190,energy approx on macOS using 20.0W
2026-02-13T13:00:17+0100,cars-classification,GENAIGREENML_assisted_gemini.py,OK,0,0.703125,0.000,0.944774151,18.895,energy approx on macOS using 20.0W
2026-02-13T13:00:18+0100,cars-classification,GENAIGREENML_assisted_groq.py,OK,0,0.703125,0.000,0.938847065,18.777,energy approx on macOS using 20.0W
2026-02-13T13:00:19+0100,cars-classification,GENAIGREENML_autonomous_gemini.py,OK,0,0.781250,0.000,1.262518644,25.250,energy approx on macOS using 20.0W
2026-02-13T13:00:20+0100,cars-classification,GENAIGREENML_autonomous_groq.py,FAILED,1,,0.000,0.947037935,18.941,energy approx on macOS using 20.0W
2026-02-13T13:00:23+0100,Classification-with-xgboost-on-binary.csv-data,GENAIGREENML_assisted_groq.py,FAILED,1,,0.000,2.635324717,52.706,energy approx on macOS using 20.0W
2026-02-13T13:00:24+0100,Classification-with-xgboost-on-binary.csv-data,GENAIGREENML_autonomous_gemini.py,OK,0,0.675000,0.000,0.997786045,19.956,energy approx on macOS using 20.0W
2026-02-13T13:00:25+0100,Classification-with-xgboost-on-binary.csv-data,GENAIGREENML_autonomous_groq.py,FAILED,1,,0.000,0.949819803,18.996,energy approx on macOS using 20.0W
2026-02-13T13:00:28+0100,CT_Project,GENAIGREENML_assisted_groq.py,OK,0,0.965919,0.000,2.673853874,53.477,energy approx on macOS using 20.0W
2026-02-13T13:00:28+0100,DecisionTreeClassifier,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,Deep-Learning-Classification,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,diabetes_predictive_analysis,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,dyslexia-randomforest,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,HWStudentGradPredictor,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,Iris-Classification-ML-problem,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,Iris-Flower-Classification-Codealpha,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,Iris-Flower-Classification-Codealpha2,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,Iris-Flower-Classification-Codealpha3,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,Iris-ML-Lab,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,ML_CSV_Classification,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,Network_Intrusion_Detection_System,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,Rock-or-Mine-prediction,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,SCT_ML_3,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,spam-ham-detection,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,SparkMLClassification,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,SparkMLClassification2,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:00:28+0100,student-math-ml-analysis,GENAIGREENML*.py,SKIPPED,,,,,,
2026-02-13T13:01:20+0100,Supervised-Data-mining-Customer-satisfaction-prediction-,GENAIGREENML_original_telemetry_gemini.py,FAILED,1,,0.000,38.564015150,771.280,energy approx on macOS using 20.0W
2026-02-13T13:01:22+0100,Supervised-Data-mining-Customer-satisfaction-prediction-,GENAIGREENML_assisted_gemini.py,OK,0,,0.000,1.417546749,28.351,energy approx on macOS using 20.0W
2026-02-13T13:01:23+0100,Supervised-Data-mining-Customer-satisfaction-prediction-,GENAIGREENML_assisted_groq.py,FAILED,1,,0.000,1.215564013,24.311,energy approx on macOS using 20.0W
2026-02-13T13:01:24+0100,Supervised-Data-mining-Customer-satisfaction-prediction-,GENAIGREENML_autonomous_gemini.py,FAILED,1,,0.000,1.153676987,23.074,energy approx on macOS using 20.0W
2026-02-13T13:01:24+0100,Supervised-Data-mining-Customer-satisfaction-prediction-,GENAIGREENML_autonomous_groq.py,FAILED,1,,0.000,0.039191008,0.784,energy approx on macOS using 20.0W
